Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,1,0.2734560942001754,1,0,7.25,0,0,1,0,0,1
1,0,0.4738819992484029,1,0,71.2833,1,0,0,1,0,0
1,0,0.32356257046223225,0,0,7.925,0,0,1,0,0,1
1,0,0.43630214205186024,1,0,53.1,1,0,0,0,0,1
0,1,0.43630214205186024,0,0,8.05,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,8.4583,0,0,1,0,1,0
0,1,0.6743079042966303,0,0,51.8625,1,0,0,0,0,1
0,1,0.02292371288989102,3,1,21.075,0,0,1,0,0,1
1,0,0.33608918952774647,0,2,11.1333,0,0,1,0,0,1
1,0,0.17324314167606164,1,0,30.0708,0,1,0,1,0,0
1,0,0.04797695102091946,1,1,16.7,0,0,1,0,0,1
1,0,0.7244143805586872,0,0,26.55,1,0,0,0,0,1
0,1,0.24840285606914697,0,0,8.05,0,0,1,0,0,1
0,1,0.48640861831391713,1,5,31.275,0,0,1,0,0,1
0,0,0.17324314167606164,0,0,7.8542,0,0,1,0,0,1
1,0,0.6868345233621446,0,0,16.0,0,1,0,0,0,1
0,1,0.02292371288989102,4,1,29.125,0,0,1,0,1,0
1,1,0.36990000810545937,0,0,13.0,0,1,0,0,0,1
0,0,0.38619566578980336,1,0,18.0,0,0,1,0,0,1
1,0,0.36990000810545937,0,0,7.225,0,0,1,1,0,0
0,1,0.43630214205186024,0,0,26.0,0,1,0,0,0,1
1,1,0.423775522986346,0,0,13.0,0,1,0,0,0,1
1,0,0.18576976074157586,0,0,8.0292,0,0,1,0,1,0
1,1,0.3486158085932607,0,0,35.5,1,0,0,0,0,1
0,0,0.09808342728297632,3,1,21.075,0,0,1,0,0,1
1,0,0.4738819992484029,1,5,31.3875,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.225,0,0,1,1,0,0
0,1,0.23587623700363275,3,2,263.0,1,0,0,0,0,1
1,0,0.36990000810545937,0,0,7.8792,0,0,1,0,1,0
